Region_splitted;Variable_NeW;Sector_OMNIA;Share
UK;DFINENPSBM;AGR;0.8802714284673966
UK;DFINENPSOLT;AGR;0.0
UK;DFINENPOIL;AVB;0.8117490057958211
UK;DFINENPOIL;AVD;0.6752655549195303
UK;DFINENPBG;ICH;0.40762902019446523
UK;DFINENPCOMB;ICH;0.16528371277106418
UK;DFINENPELEC;ICH;0.6040384580972429
UK;DFINENPGAS;ICH;0.8124691096419758
UK;DFINENPHEAT;ICH;0.7732122435154877
UK;DFINENPIW;ICH;0.0
UK;DFINENPLBF;ICH;0.0
UK;DFINENPMW;ICH;1.0
UK;DFINENPOIL;ICH;0.26662373104641185
UK;DFINENPSBM;ICH;0.24860956207254808
UK;DFINENPSOLT;ICH;0.0
UK;DFINENPBG;ICM;0.0
UK;DFINENPCOMB;ICM;1.0
UK;DFINENPELEC;ICM;0.4184387780094624
UK;DFINENPGAS;ICM;0.9410293992889199
UK;DFINENPHEAT;ICM;0.0
UK;DFINENPIW;ICM;0.0
UK;DFINENPLBF;ICM;0.0
UK;DFINENPOIL;ICM;0.38937147100583636
UK;DFINENPSBM;ICM;0.0
UK;DFINENPSOLT;ICM;0.0
UK;DFINENPCOMB;IIS;0.7200102951263516
UK;DFINENPELEC;IIS;0.2509128864299245
UK;DFINENPGAS;IIS;0.7990927782510441
UK;DFINENPHEAT;IIS;0.0
UK;DFINENPIW;IIS;0.0
UK;DFINENPLBF;IIS;0.0
UK;DFINENPMW;IIS;1.0
UK;DFINENPOIL;IIS;0.2914348992800595
UK;DFINENPSBM;IIS;0.0
UK;DFINENPSOLT;IIS;0.0
UK;DFINENPBG;INF;0.0
UK;DFINENPCOMB;INF;1.0
UK;DFINENPELEC;INF;0.10452643392392667
UK;DFINENPGAS;INF;0.7156454884370792
UK;DFINENPHEAT;INF;0.0
UK;DFINENPIW;INF;0.0
UK;DFINENPLBF;INF;0.0
UK;DFINENPOIL;INF;0.22400773503918572
UK;DFINENPSBM;INF;0.0
UK;DFINENPSOLT;INF;0.0
UK;DFINENPBG;INM;1.0
UK;DFINENPCOMB;INM;0.7385618094205012
UK;DFINENPELEC;INM;0.7341821336395022
UK;DFINENPGAS;INM;0.883980012515311
