Region_NeW_cd;Variable_NeW_cd;Sector_NeW;Commodity_NeW_nm;Value_TJ;Share
KR;DFINENP;38;GAS;5282.73;0.05206313962375259
MX;DFINENP;06;ELEC;9114.75;0.3822635740842093
MX;DFINENP;07;ELEC;9114.75;0.3822635740842093
MX;DFINENP;07;GAS;516036.0;0.7371900731995817
MX;DFINENP;13;COMB;1690.5;0.12784058683404545
MX;DFINENP;14;ELEC;5614.650000000001;0.23547285183158134
MX;DFINENP;14;GAS;171841.0;0.24548574008148524
MX;DFINENP;14;OIL;151335.7;1.0
MX;DFINENP;17;COMB;11533.0;0.8721594131659546
MX;DFINENP;17;GAS;12127.0;0.017324186718933033
NL;DFINENP;06;ELEC;7752.4308;0.2731171405767837
NL;DFINENP;06;HEAT;1.371;0.00010962261913623934
NL;DFINENP;07;ELEC;7752.4308;0.2731171405767837
NL;DFINENP;07;GAS;24215.27;0.3397436485622571
NL;DFINENP;07;HEAT;1.371;0.00010962261913623934
NL;DFINENP;13;COMB;8476.923999999999;0.42557693628448173
NL;DFINENP;13;ELEC;324.44280000000003;0.011430078139713976
NL;DFINENP;13;HEAT;970.0;0.0775594023064567
NL;DFINENP;14;ELEC;10123.3188;0.35664322005985494
NL;DFINENP;14;GAS;44832.132;0.629001126087164
NL;DFINENP;14;HEAT;10519.175;0.8410937378938368
NL;DFINENP;14;OIL;109012.70270000001;1.0
NL;DFINENP;17;COMB;11441.74;0.5744230637155183
NL;DFINENP;17;ELEC;2432.3796;0.08569242064686357
NL;DFINENP;17;GAS;2227.72;0.03125522535057884
NL;DFINENP;17;HEAT;1014.626;0.08112761456143397
OE;DFINENP;05;COMB;10924.141607199997;0.08028114079176199
OE;DFINENP;05;ELEC;30644.2692;0.21249049542607198
OE;DFINENP;05;GAS;494.168;0.0022685789041259246
OE;DFINENP;05;HEAT;4563.251;0.061685014008811295
OE;DFINENP;05;IW;0.958;0.0008552326759587666
OE;DFINENP;05;OIL;2940.9672;0.007346950584885231
OE;DFINENP;06;ELEC;9744.9552;0.06757251559299304
OE;DFINENP;06;HEAT;1726.123;0.023333347527000243
OE;DFINENP;06;OIL;1037.96;0.002592970376918
OE;DFINENP;07;ELEC;9744.9552;0.06757251559299304
OE;DFINENP;07;GAS;55050.608;0.2527210340776939
OE;DFINENP;07;HEAT;1726.123;0.023333347527000243
OE;DFINENP;13;COMB;83262.40646500001;0.6118925602055502
OE;DFINENP;13;ELEC;4497.2064;0.031184088931358874
OE;DFINENP;13;GAS;350.222;0.001607765458226331
OE;DFINENP;13;HEAT;10368.143;0.14015425542017276
OE;DFINENP;13;OIL;9.373999999999999;2.3417573233293504e-05
OE;DFINENP;14;COMB;688.36976;0.0050588056807070346
OE;DFINENP;14;ELEC;52865.6184;0.36657560248888776
OE;DFINENP;14;GAS;152992.85199999998;0.7023448635469309
OE;DFINENP;14;HEAT;36981.816999999995;0.49991199250628454
OE;DFINENP;14;LBF;887.9517999999998;0.9996685603608549
OE;DFINENP;14;OIL;383496.7197;0.9580288583638344
OE;DFINENP;14;SBM;1.026;0.024105447702136656
OE;DFINENP;17;BG;974.4449999999999;1.0
OE;DFINENP;17;COMB;41198.65436;0.30276749332198094
OE;DFINENP;17;ELEC;35274.0564;0.24459391317849427
OE;DFINENP;17;GAS;4401.974;0.020208158668531376
OE;DFINENP;17;HEAT;18276.557;0.2470584402606471
OE;DFINENP;17;IW;1119.205;0.9991447673240411
OE;DFINENP;17;LBF;0.2944;0.00033143963914509297
OE;DFINENP;17;OIL;12811.6557;0.03200532169772692
OE;DFINENP;17;SBM;41.536992925;0.9758945522978633
OE;DFINENP;38;ELEC;1443.7152;0.010010868789200907
OE;DFINENP;38;GAS;4541.7;0.020849599344491574
OE;DFINENP;38;HEAT;334.64099999999996;0.004523602750083793
OE;DFINENP;38;OIL;0.9933;2.4814034022434863e-06
RU;DFINENP;05;COMB;10075.54656;0.18001289624974556
RU;DFINENP;05;ELEC;31590.36;0.03183508951281205
RU;DFINENP;05;HEAT;18988.774;0.03028666148707393
RU;DFINENP;05;OIL;76292.32;0.5347493594732984
RU;DFINENP;06;ELEC;371708.28;0.3745878922067809
RU;DFINENP;06;HEAT;105501.515;0.16827251044108757
RU;DFINENP;06;OIL;52297.484;0.3665643680919005
RU;DFINENP;07;ELEC;371708.28;0.3745878922067809
RU;DFINENP;07;GAS;471352.508;0.9080207779246068
RU;DFINENP;07;HEAT;105501.515;0.16827251044108757
RU;DFINENP;13;COMB;45895.702;0.8199871037502544
RU;DFINENP;14;ELEC;108847.8;0.10969104043995266
RU;DFINENP;14;HEAT;384590.392;0.6134129045764126
RU;DFINENP;14;IW;5682.567;1.0
RU;DFINENP;17;ELEC;108457.86600000001;0.1092980856336735
RU;DFINENP;17;GAS;46280.312;0.08915511043559254
RU;DFINENP;17;HEAT;12386.016;0.01975541305433839
RU;DFINENP;17;OIL;14079.502;0.09868627243480108
RU;DFINENP;38;GAS;1465.993;0.002824111639800648
UK;DFINENP;05;ELEC;1392.1056;0.051281207994593604
UK;DFINENP;05;GAS;290.0;0.0012566298055257045
UK;DFINENP;06;ELEC;2171.3184;0.07998518969601745
UK;DFINENP;06;OIL;24018.8;0.14364022366414497
UK;DFINENP;07;ELEC;2171.3184;0.07998518969601745
UK;DFINENP;07;GAS;197558.0;0.8560595555863695
UK;DFINENP;13;COMB;7589.054;0.40783111859879917
UK;DFINENP;14;ELEC;16342.6788;0.602017771303869
UK;DFINENP;14;GAS;9640.0;0.0417721080181648
UK;DFINENP;14;HEAT;14376.569;1.0
UK;DFINENP;14;OIL;143196.2;0.8563597763358551
UK;DFINENP;17;COMB;11019.271;0.5921688814012008
UK;DFINENP;17;ELEC;5069.084400000001;0.18673064130950248
UK;DFINENP;17;GAS;12788.0;0.055413041217457625
UK;DFINENP;38;GAS;10500.0;0.04549866537248241
US;DFINENP;05;COMB;480.41900000000004;0.009461458871292204
US;DFINENP;05;ELEC;28408.4352;0.02714000003150362
US;DFINENP;05;GAS;1368.668;0.00026911098724441234
US;DFINENP;05;LBF;2208.0;0.15000000000000002
US;DFINENP;05;OIL;70643.159;0.04780462724409259
US;DFINENP;06;ELEC;374975.2872;0.35823265993971676
US;DFINENP;06;LBF;12511.999999999998;0.85
US;DFINENP;06;OIL;271935.8;0.18402050159342553
US;DFINENP;07;ELEC;374975.2872;0.35823265993971676
US;DFINENP;07;GAS;4044233.098;0.7951874096927146
US;DFINENP;13;COMB;21847.0;0.4302587781938699
US;DFINENP;13;ELEC;1482.354;0.0014161669702490167
US;DFINENP;14;ELEC;212144.3064;0.20267207404578602
US;DFINENP;14;GAS;1029404.413;0.2024041168904254
US;DFINENP;14;HEAT;61749.042;1.0
US;DFINENP;14;OIL;1135150.8916;0.7681630607535168
US;DFINENP;17;COMB;28449.0;0.5602797629348379
US;DFINENP;17;ELEC;54751.0716;0.05230643907302776
US;DFINENP;17;GAS;10880.555;0.0021393624296156023
US;DFINENP;17;OIL;17.4528;1.1810408964945907e-05
WA;DFINENP;05;COMB;9038.6588106;0.1001425662241064
WA;DFINENP;05;ELEC;1945.7640000000001;0.017591425354279308
WA;DFINENP;05;GAS;10.701;1.0055343765447819e-05
WA;DFINENP;05;HEAT;497.9;0.006586141137314005
WA;DFINENP;05;OIL;216.376;0.00042865164210053024
WA;DFINENP;06;ELEC;45556.6716;0.4118725538353141
WA;DFINENP;06;HEAT;27748.0;0.3670460821012031
WA;DFINENP;06;OIL;52123.62169999999;0.10325949289168773
WA;DFINENP;07;ELEC;45556.6716;0.4118725538353141
WA;DFINENP;07;GAS;218798.302;0.20559687336756088
WA;DFINENP;07;HEAT;27748.0;0.3670460821012031
WA;DFINENP;13;COMB;44755.395000000004;0.49586118931908485
WA;DFINENP;14;ELEC;14176.9332;0.12817199934853563
WA;DFINENP;14;GAS;30759.905;0.028903973363939555
WA;DFINENP;14;HEAT;19604.237;0.25932169466027977
WA;DFINENP;14;LBF;0.13699999999999998;1.0
WA;DFINENP;14;OIL;350436.0162;0.6942312169339392
WA;DFINENP;17;COMB;36463.857;0.40399624445680876
WA;DFINENP;17;ELEC;1543.806;0.013957369963926006
WA;DFINENP;17;GAS;294700.9047;0.27691981167619634
WA;DFINENP;17;OIL;102005.746;0.20207846769784815
WA;DFINENP;38;ELEC;1828.8144000000002;0.016534097662630774
WA;DFINENP;38;GAS;519940.447;0.48856928624853774
WA;DFINENP;38;OIL;1.0957999999999999;2.1708344243990135e-06
WE;DFINENP;05;COMB;72.96000000000001;0.0025090413135225352
WE;DFINENP;05;ELEC;9870.181199999999;0.11626650660773186
WE;DFINENP;05;HEAT;2737.0;0.140729468138761
WE;DFINENP;05;OIL;186.405;0.003618324352196972
WE;DFINENP;06;ELEC;32944.464;0.38807167403818127
WE;DFINENP;06;HEAT;1913.0;0.09836151719015337
