Reg_cd;Sec_cd;int_kstock;ratio_kstock
DE;23;0.276812366;8.073345908
DE;24;0.276812366;8.073345908
DE;25;0.324520218;7.103467996
DE;26;0.388185123;7.42334263
DE;27;0.729064361;6.085843516
DE;28;0.364077579;6.307087256
DE;29;0.729064361;6.085843516
DE;30;0.729064361;6.085843516
DE;31;0.48021342;4.559084356
DE;32;0.328780217;6.62984456
DE;33;0.326010513;7.054660243
DE;34;3.665718842;26.02543413
DE;35;1.459432295;14.03768253
DE;36;1.459432295;14.03768253
DE;37;1.459432295;14.03768253
DE;38;1.459432295;14.03768253
DE;39;1.459432295;14.03768253
DE;40;6.380215221;25.87308097
DE;41;0.178931253;7.21702117
DE;42;0.472969175;8.942347203
DE;43;0.598194598;12.86651695
DE;44;0.915835611;9.746700156
DE;45;0.915835611;9.746700156
DE;46;2.176902625;10.11071158
DE;47;2.176902625;10.11071158
DE;48;0.559434636;9.908462576
DE;49;1.993576904;12.81633015
DE;50;0.681779039;11.54963318
DE;51;0.681181014;20.67836866
DE;52;13.41277028;26.1904355
DE;53;0.549901679;5.601502666
DE;54;2.220728116;7.049348583
DE;55;0.788306076;5.473572037
DE;56;2.689263874;19.16454619
DE;57;1.878415762;14.33292412
DE;58;1.501025906;13.57786635
DE;59;1.387976986;17.31258761
ES;01;1.088913451;11.02183667
ES;02;1.088913451;11.02183667
ES;03;1.088913451;11.02183667
ES;04;1.088913451;11.02183667
ES;05;2.997105644;14.17351047
ES;06;2.997105644;14.17351047
ES;07;2.997105644;14.17351047
ES;08;2.997105644;14.17351047
ES;09;0.513092604;9.761474178
ES;10;0.513092604;9.761474178
ES;11;0.513092604;9.761474178
ES;12;0.513092604;9.761474178
ES;13;0.513092604;9.761474178
ES;14;0.513092604;9.761474178
ES;15;0.513092604;9.761474178
ES;16;0.513092604;9.761474178
ES;17;0.513092604;9.761474178
ES;18;0.513092604;9.761474178
ES;19;0.513092604;9.761474178
ES;20;0.513092604;9.761474178
ES;21;0.513092604;9.761474178
ES;22;0.513092604;9.761474178
ES;23;0.513092604;9.761474178
ES;24;0.513092604;9.761474178
ES;25;0.513092604;9.761474178
ES;26;0.513092604;9.761474178
ES;27;0.513092604;9.761474178
ES;28;0.513092604;9.761474178
ES;29;0.513092604;9.761474178
ES;30;0.513092604;9.761474178
ES;31;0.513092604;9.761474178
ES;32;0.513092604;9.761474178
ES;33;0.513092604;9.761474178
ES;34;2.436515897;14.30099777
ES;35;2.437100813;11.92691918
ES;36;2.437100813;11.92691918
ES;37;2.437100813;11.92691918
ES;38;2.437100813;11.92691918
ES;39;2.437100813;11.92691918
ES;40;2.436515897;14.30099777
ES;41;2.849391663;26.00167903
ES;42;0.903512529;13.47200712
ES;43;0.522851541;15.6463393
ES;44;2.018141308;14.5616618
ES;45;2.018141308;14.5616618
ES;46;2.018141308;14.5616618
ES;47;2.018141308;14.5616618
ES;48;2.018141308;14.5616618
ES;49;2.018141308;14.5616618
ES;50;0.87466814;12.46842878
